Title,Date,Size,Location,Description,Price
Résidence Le Mirage,,,Oasis in Casablanca,"located in the sumptuous oasis district in casablanca, a neighborhood composed mainly of villas, le mirage residence offers you high standing apartments with a surface area ranging from 99 to 107 m² for a price starting at 1.800.000 mdh.

enjoying a strategic location,
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">
<span class=""fSize13"">From </span>1,800,000 DH
					</span>"
Fabulous apartment for sale in Maârif Ext...,Published today,"3 bedrooms, 125 m²","Maârif Extension in
   						Casablanca","lovely apartment for sale. price 985,000 dh. 2 living areas, 1 bathroom, 47 m². 1 room. new. private garden, no lift, balcony.

this apartment is offered for sale in maârif extension. comfort and security with
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">2,270,000 DH
					</span>"
Find an apartment to buy in Maârif Extens...,Published today,"3 bedrooms, 126 m²","Maârif Extension in
   						Casablanca","lovely apartment for sale. price 985,000 dh. 2 living areas, 1 bathroom, 47 m². 1 room. new. private garden, no lift, balcony.

this apartment is offered for sale in maârif extension. comfort and security with
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">2,245,000 DH
					</span>"
Sell apartment in Maârif Extension. 4 com...,Published today,"3 bedrooms, 117 m²","Maârif Extension in
   						Casablanca","lovely apartment for sale. price 985,000 dh. 2 living areas, 1 bathroom, 47 m². 1 room. new. private garden, no lift, balcony.

this apartment is offered for sale in maârif extension. comfort and security with
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">2,065,000 DH
					</span>"
Apartment to purchase in Maârif Extension...,Published today,"2 bedrooms, 105 m²","Maârif Extension in
   						Casablanca","unique opportunity in this apartment for sale. price 1,935,000 dh. 3 living areas, 2 private bathrooms, 105 m². 2 rooms. new. perfectly equipped residence with lift and carpark. you will also enjoy a garden
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,935,000 DH
					</span>"
Find an apartment to buy in Maârif Extens...,Published today,"2 bedrooms, 103 m²","Maârif Extension in
   						Casablanca","lovely apartment for sale. price 985,000 dh. 2 living areas, 1 bathroom, 47 m². 1 room. new. private garden, no lift, balcony.

this apartment is offered for sale in maârif extension. comfort and security with
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,866,000 DH
					</span>"
Apartment for sale in Maârif Extension. 2...,Published today,"2 bedrooms, 99 m²","Maârif Extension in
   						Casablanca","lovely apartment for sale. price 985,000 dh. 2 living areas, 1 bathroom, 47 m². 1 room. new. private garden, no lift, balcony.

this apartment is offered for sale in maârif extension. comfort and security with
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,835,000 DH
					</span>"
Fabulous apartment for sale in Maârif Ext...,Published today,"2 bedrooms, 94 m²","Maârif Extension in
   						Casablanca","lovely apartment for sale. price 985,000 dh. 2 living areas, 1 bathroom, 47 m². 1 room. new. private garden, no lift, balcony.

this apartment is offered for sale in maârif extension. comfort and security with
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,770,000 DH
					</span>"
Sale of a lovely apartment in Maârif Exte...,Published today,"2 bedrooms, 94 m²","Maârif Extension in
   						Casablanca","lovely apartment for sale. price 985,000 dh. 2 living areas, 1 bathroom, 47 m². 1 room. new. private garden, no lift, balcony.

this apartment is offered for sale in maârif extension. comfort and security with
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,720,000 DH
					</span>"
Sale of a lovely apartment in Maârif Exte...,Published today,"2 bedrooms, 89 m²","Maârif Extension in
   						Casablanca","amazing deal on this apartment for sale. price 1,610,000 dh. 3 living areas, 2 bathrooms, area 89 m². 2 rooms. new. perfectly equipped residence with lift and carpark. you will also enjoy a garden with a
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,610,000 DH
					</span>"
Apartment to purchase in Maârif Extension...,Published today,"2 bedrooms, 89 m²","Maârif Extension in
   						Casablanca","lovely apartment for sale. price 985,000 dh. 2 living areas, 1 bathroom, 47 m². 1 room. new. private garden, no lift, balcony.

this apartment is offered for sale in maârif extension. comfort and security with
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,585,000 DH
					</span>"
Sale of a lovely apartment in Maârif Exte...,Published today,"2 bedrooms, 78 m²","Maârif Extension in
   						Casablanca","lovely apartment for sale. price 985,000 dh. 2 living areas, 1 bathroom, 47 m². 1 room. new. private garden, no lift, balcony.

this apartment is offered for sale in maârif extension. comfort and security with
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,460,000 DH
					</span>"
Fabulous apartment for sale in Ahl Loghla...,Published today,"2 bedrooms, 63 m²","Ahl Loghlam (Hay Assalam) in
   						Casablanca","it is in the heart of the new city of tit mellil, only 2mins from the ring road and 20mins from mohamed v airport, that shems al madina makes you discover its new residence ""echellalate tit mellil"" more exactly
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">250,000 DH
					</span>"
Apartment to purchase in Californie. 3 La...,Published today,"3 bedrooms, 116 m²","Californie in
   						Casablanca","utopia, the first residential complex in the california district!
imagine living in an idyllic setting with a multitude of relaxation and leisure areas within the residence itself: swimming pool, green areas,
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,797,000 DH
					</span>"
Fabulous apartment for sale in Gauthier...,Published today,"2 bedrooms, 99 m²","Gauthier in
   						Casablanca","buy your apartment. price 1,980,000 dh. 2 rooms, 2 bathrooms, area 99 m². 3 rooms. 3rd storey. less than 1 year. floor type: marble. caretaker service available, integrated air conditioning.

ideal if you want
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,980,000 DH
					</span>"
Beautiful apartment for sale in Burger. S...,Published today,"1 bedroom, 63 m²","Anfa in
   						Casablanca","buy your apartment. price 1,875,000 dh. 3 rooms, 2 bathrooms, 150 m². 4 rooms. 3rd storey. less than 10 years. covering: marble. usable fireplace, caretaker service available, secured neighbourhood.

this
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,200,000 DH
					</span>"
Apartment for sale in Bourgogne Ouest. 3...,Published today,"2 bedrooms, 56 m²","Bourgogne Ouest in
   					Casablanca","ideal apartment for sale. price 780,000 dh. 2 rooms, 1 bathroom, area 56 m². 3 rooms. 3rd level. less than 10 years. garden and lift.

come and check out this apartment for sale in bourgogne ouest,
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">780,000 DH
					</span>"
Sale of a lovely apartment in Ain Chock...,Published today,"3 bedrooms, 110 m²","Ain Chock in
   					Casablanca","buy your apartment. price 1,400,000 dh. 2 living areas including 3 rooms, 2 bathrooms, 110 m². 1st property storey. less than 10 years. covering: marble. living room with fireplace, residence with
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,300,000 DH
					</span>"
Sell apartment in Les Hôpitaux. 2 beautif...,Published today,"2 bedrooms, 113 m²","Les Hôpitaux in
   					Casablanca","ideal apartment for sale. price 1,400,000 dh. 4 living areas, 1 bathroom, area 113 m². 2 bedrooms. 6th storey. less than 30 years. floor type: marble. moroccan living room, satellite dish.

come and check
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,400,000 DH
					</span>"
Luxury villa for sale in Ain Diab. 8 room...,Published today,"5 bedrooms, 400 m²","Ain Diab in
   					Casablanca","high quality amenities with this beautiful house for sale. 5 rooms, 4 bathrooms, 400 m². 8 rooms. less than 20 years. covering: marble. ample storage space.

come and check out this villa without
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">
	    					Price on request
	    				
					</span>"
Sale of a lovely apartment in La Vilette...,Published today,"4 bedrooms, 160 m²","Hay Mohammadi in
   					Casablanca","buy your apartment. price 950,000 dh. 4 rooms, 2 bathrooms, area 160 m². 5 rooms. 1st on the top floor. less than 50 years. covering: tiled. secured residence with satellite dish. the property also has a
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">950,000 DH
					</span>"
Sale of a lovely apartment in Ain Diab Ex...,Published today,"2 bedrooms, 211 m²","Ain Diab Extension in
   					Casablanca","discover the calm and serenity of an exceptional living environment just a few minutes from the city center: on more than 5 hectares, anfa heaven private residences offers exceptional villas and apartments
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">2,220,000 DH
					</span>"
Fabulous apartment for sale in Bernoussi...,Published today,"2 bedrooms, 50 m²","Bernoussi in
   					Casablanca","get a great deal by buying this apartment. price 250,000 dh. 2 rooms, 2 bathrooms, 50 m². 3 rooms. new. green areas and lift.

this apartment is for sale in bernoussi, casablanca. fully equipped
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">250,000 DH
					</span>"
Sell apartment in Ain Diab. Area 90 m². L...,Published today,"2 bedrooms, 90 m²","Ain Diab in
   					Casablanca","don't miss out on this apartment for sale. price 9,000 dh. 3 living areas, 1 bathroom, area 90 m². 2 bedrooms. good condition. enjoy the warmth of a real fireplace.

come and check out this apartment for
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">9,000 DH
					</span>"
Find an apartment to buy in Racine. Large...,Published today,"2 bedrooms, 87 m²","Racine in
   					Casablanca","unique opportunity in this apartment for sale. price 1,500,000 dh. 2 living areas, 1 bathroom, area 87 m². 2 rooms. 2nd level. less than 20 years. due for reform. floor type: marble. no lift.

come and
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,500,000 DH
					</span>"
Fabulous apartment for sale in Ahl Loghla...,Published today,"3 bedrooms, 67 m²","Ahl Loghlam (Hay Assalam) in
   					Casablanca","it is in the heart of the new city of tit mellil, only 2mins from the ring road and 20 mins from mohamed v airport, that shems al madina makes you discover its new residence ""echellalate tit mellil"" more
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">250,000 DH
					</span>"
Sell apartment. Dimension 57 m². No Lift...,Published today,"2 bedrooms, 67 m²","Ahl Loghlam (Hay Assalam) in
	 					Casablanca","don't miss out on this apartment for sale. 3 living areas with 2 rooms, 1 bathroom, 57 m². new. enjoy a beautiful terrace. also has a lift and a garage.

come and check out this apartment for sale .
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">250,000 DH
					</span>"
Apartment to purchase in Ain Diab Extensi...,Published today,"3 bedrooms, 94 m²","Ain Diab Extension in
	 					Casablanca","the boulevard de biarritz becomes the new luxury address in anfa!

located 2 minutes from the morocco mall, biarritz anfa ocean is the new high standing real estate project signed by anwar luxury.

true to
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">1,804,000 DH
					</span>"
Apartment for sale in City Dar Es Salaam...,Published today,"2 bedrooms, 82 m²","City Dar Es Salaam in
	 					Casablanca","ideal apartment for sale. price 822,000 dh. 2 bedrooms, 1 bathroom, 82 m². 3 rooms. 2nd property storey. new. lift in the residence.

this apartment is for sale in city dar es salaam, casablanca. stove.
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">822,000 DH
					</span>"
